id,language,transform,kind,tokens_before,tokens_after,delta_tokens,stability_exact,stability_jaccard,correct_before,correct_after
zh-001,zh,identity,token_perturb,11,11,0,1,1.0,,
zh-001,zh,punct_ascii,token_perturb,11,11,0,1,1.0,,
zh-001,zh,punct_fullwidth,token_perturb,11,11,0,1,1.0,,
zh-001,zh,numerals_arabic,token_perturb,11,11,0,1,1.0,,
zh-001,zh,to_traditional,token_perturb,11,14,3,1,1.0,,
zh-001,zh,to_simplified,token_perturb,11,11,0,1,1.0,,
zh-002,zh,identity,token_perturb,12,12,0,1,1.0,1.0,1.0
zh-002,zh,punct_ascii,token_perturb,12,12,0,1,1.0,1.0,1.0
zh-002,zh,punct_fullwidth,token_perturb,12,12,0,1,1.0,1.0,1.0
zh-002,zh,numerals_arabic,token_perturb,12,12,0,1,1.0,1.0,1.0
zh-002,zh,to_traditional,token_perturb,12,12,0,0,0.6666666666666666,1.0,1.0
zh-002,zh,to_simplified,token_perturb,12,12,0,1,1.0,1.0,1.0
zh-003,zh,identity,token_perturb,11,11,0,0,0.0,,
zh-003,zh,punct_ascii,token_perturb,11,11,0,1,1.0,,
zh-003,zh,punct_fullwidth,token_perturb,11,11,0,0,0.0,,
zh-003,zh,numerals_arabic,token_perturb,11,12,1,0,0.0,,
zh-003,zh,to_traditional,token_perturb,11,14,3,0,0.0,,
zh-003,zh,to_simplified,token_perturb,11,11,0,0,0.0,,
en-001,en,identity,token_perturb,10,10,0,1,1.0,,
en-001,en,punct_ascii,token_perturb,10,10,0,1,1.0,,
en-001,en,punct_fullwidth,token_perturb,10,10,0,1,1.0,,
en-001,en,numerals_arabic,token_perturb,10,10,0,1,1.0,,
en-001,en,to_traditional,token_perturb,10,10,0,1,1.0,,
en-001,en,to_simplified,token_perturb,10,10,0,1,1.0,,
en-002,en,identity,token_perturb,10,10,0,1,1.0,1.0,1.0
en-002,en,punct_ascii,token_perturb,10,10,0,1,1.0,1.0,1.0
en-002,en,punct_fullwidth,token_perturb,10,10,0,1,1.0,1.0,1.0
en-002,en,numerals_arabic,token_perturb,10,10,0,1,1.0,1.0,1.0
en-002,en,to_traditional,token_perturb,10,10,0,1,1.0,1.0,1.0
en-002,en,to_simplified,token_perturb,10,10,0,1,1.0,1.0,1.0
en-003,en,identity,token_perturb,13,13,0,0,0.6842105263157895,,
en-003,en,punct_ascii,token_perturb,13,13,0,1,1.0,,
en-003,en,punct_fullwidth,token_perturb,13,13,0,0,0.55,,
en-003,en,numerals_arabic,token_perturb,13,13,0,1,1.0,,
en-003,en,to_traditional,token_perturb,13,13,0,0,0.6842105263157895,,
en-003,en,to_simplified,token_perturb,13,13,0,1,1.0,,
